"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"Un nodo che usa un protocollo a finestra Go-Back-N con semantica cumulativa degli ACK per ricevere dati da un altro nodo si vede recapitare una PDU duplicata. Quale delle seguenti azioni si intraprende?","Invia sempre un ACK relativo al numero di sequenza atteso","se la PDU rientra nella finestra di ricezione, invia sempre un ACK relativo al numero di sequenza della PDU duplicata","Invia un ACK relativo al numero di sequenza atteso solo se non è ancora scaduto il timeout del trasmettitore","Invia sempre un ACK relativo al numero di sequenza della PDU duplicata","A",""
"Il protocollo IP","Implementa il livello trasporto della rete Internet","Rende una rete di grosse dimensioni più scalabile grazie alle aggregabilità degli indirizzi","viene utilizzato nelle reti locali in quanto la tecnologia Ethernet risulta adeguata","Fornisce i meccanismi di accesso ad un mezzo condiviso","B",""
"Un protocollo di instradamento","prevede lo scambio di informazioni sullo stato della rete per costruire tabelle di instradamento","definisce le operazioni da eseguire per inoltrare i singoli pacchetti sulla porta di uscita","definisce le operazioni da eseguire per scegliere il percorso verso la destinazione","usa le tabelle di instradamento ma solo nel caso della commutazione di circuito","A",""
"Nel protocollo ATM della rete B-ISDN, le unità dati, dette celle, sono di piccole dimensioni (48 byte + 5 byte di intestazione)","per segmentare in celle le unità dati del protocollo IP al fine di diminuire la probabilità di perdita dei dati","per migliorare il rapporto tra intestazioni e dati utente nella cella","per ridurre il tempo di pacchettizzazione (creazione del pacchetto) per trasferire la voce per applicazioni in tempo reale","per aumentare la velocità di trasferimento di un file di grandi dimensioni grazie all’efficiente processo di segmentazione e riassemblaggio","C",""
"Il DNS","è un sistema utilizzato per la configurazione automatica del nome di dominio sugli host della rete internet","è un database distribuito che, data una chiave di ricerca, permette di individuare, all’interno di una gerarchia di server, un record di un tipo specificato.","è un sistema usato dallo IANA per delegare l’assegnazione dei nomi di dominio (Top Level Domain)","è un server che viene installato all’interno di una rete aziendale e contiene la corrispondenza tra nome e indirizzo di qualsiasi host della rete internet routing","B",""
"La condivisione contemporanea dello stesso canale fisico tra diverse sorgenti può avvenire","attraverso la multiplazione di frequenza","attraverso la multiplazione di circuito","attraverso la commutazione di circuito","attraverso la commutazione di pacchetto a circuito virtuale","A",""
"Ad una rete Ethernet contenente 200 stazioni può essere assegnata la rete IP","130.192.2.0/24","130.192.0.0/25","130.192.2.0/25","130.192.2.0/26","A",""
"I segmenti TCP","hanno dimensione fissa negoziata all’atto della instaurazione della connessione","hanno dimensione fissa specificata dallo standard TCP","hanno dimensione variabile che viene decisa in base al livello di congestione in rete","hanno dimensione variabile che non dipende dal livello di congestione in rete","D",""
"Per ridurre il ritardo di pacchettizzazione è consigliabile","aumentare la dimensione dell’intestazione","scegliere una destinazione vicina","ridurre la dimensione del campo dati delle PDU","usare un protocollo di accesso a contesa","C",""
"In un cavo UTP (Unshielded Twisted Pair) la trasmissione del segnale avviene sfruttando","la differenza tra le tensioni di coppie diverse di conduttori","la differenza tra le tensioni sui componenti di una coppia di conduttori","la differenza tra la tensione di un singolo conduttore e la “terra”","la differenza tra la tensione di un singolo conduttore e la calza metallica","B",""
"Il controllo di flusso","viene offerto da UDP utilizzando un apposito campo presente nell’intestazione","viene offerto sia da TCP che da UDP in quanto fondamentale nella realizzazione di una comunicazione end-to-end","non viene offerto né da TCP né da UDP in quanto già presente nei protocolli di livello inferiore","viene offerto da TCP utilizzando un apposito campo presente nell’intestazione","D",""
"Un esempio di accesso multiplo è rappresentato da","stazione base che trasmette verso terminali mobili di una rete cellulare","centrale locale di telefonia fissa","trasmissioni televisive irradiate da satellite","terminali mobili che trasmettono verso stazione base in una rete cellulare","D","i terminali mobili accedono potenzialmente da punti diversi"
"Quale tra le seguenti funzioni non vengono svolte dal Transmission Control Protocol (TCP)?","Controllo di congestione","Mantenimento della sequenza dei byte","Multiplazione/demultiplazione attraverso il meccanismo delle porte","Scelta dell’instradamento dei pacchetti","D","l’instradamento è compito dello strato rete"
"Per un trasmettitore che implementa uno schema ARQ (Automatic Retransmission reQuest), la ricezione di una successione di riscontri contenenti lo stesso numero di sequenza è sintomo di","un aumento della durata del time","una perdita di unità dati di riscontro (ACK)","un aumento della disponibilità di banda tra trasmettitore e ricevitore","una perdita di una unità dati di informazione","D",""
"Quale tra le seguenti funzioni non è caratteristica del secondo livello architetturale del modello OSI?","delimitazione delle unità dati","indirizzamento sulla rete locale","controllo d’errore sulle unità dati","instradamento end-to-end delle unità dati","D","vedi slide 02-Architetture pp45-46: l’instradamento è compito del livello 3"
"Quali delle seguenti affermazioni si applica a Fast Ethernet in modalità full-duplex (bidirezionale)?","La modalità full-duplex può essere utilizzata tra una stazione d’utente e una porta di uno switch, oppure tra le porte di due switch","La modalità full-duplex non consente una maggiore distanza tra una stazione d’utente ed uno switch","La modalità full-duplex permette di interconnettere switch in topologia ad anello","La modalità full-duplex non aumenta la quantità di informazione smaltibile tra una stazione d’utente ed uno switch, rispetto alla modalità half-duplex","A",""
"L’algoritmo di controllo della finestra del trasmettitore TCP passa dalla fase di slow-start a quella di congestion avoidance (AIMD)","su segnalazione da parte del ricevitore","nel momento in cui la finestra corrente raggiunge un valore di soglia","allo scadere di un timeout","non appena si riceve un riscontro fuori sequenza","B","vedi slide 04-Livello Trasporto."
"In una rete a commutazione di pacchetto di tipo circuito virtuale, l’algoritmo di instradamento si applica nei nodi di commutazione","a tutti i pacchetti ricevuti","ai soli pacchetti di richiesta di apertura e chiusura di circuito virtuale","ai soli pacchetti dati","ai soli pacchetti di richiesta di apertura di circuito virtuale","D","vedi slide 01-Concetti Generali pp.146-147 tutti i pacchetti instradano altrimenti il pacchetto non si sposterebbe dai nodi intermedi"
"Quale di queste affermazioni relative alle architetture peer-to-peer è falsa?","Sono autoscalanti, ovvero le prestazioni non cambiano drasticamente al variare del numero dei peer","I peer sono localizzati in grandi data-center e vengono gestiti dallo stesso amministratore","Le risorse rimangono usualmente accessibili anche se alcuni peer vengono spenti","I peer possono cambiare il proprio indirizzo IP nel corso del tempo","B",""
"Quale di queste affermazioni relative al routing dei datagram nelle reti IP è vera?","Viene effettuato dai router sulla base del destination IP address","Viene effettuato dai router sulla base del source IP address","Viene effettuato dai router sulla base del virtual-circuit (VC) identifier","IP si basa sulla commutazione di circuito, per cui non viene effettuato alcun routing","A","vedi slide IP"
"Il fatto che il protocollo PPP (Point-to-Point Protocol) operi su collegamenti punto-punto comporta, tra l’altro:","Che PPP debba usare indirizzi di strato MAC per distinguere mittente e destinatario","Che non sia necessario usare indirizzi nell’intestazione PPP","Che PPP debba inviare ai livelli superiori l’identità del destinatario","Che le trame PPP abbiano una lunghezza fissa","B","non è necessario identificare esplicitamente mittente e destinatario tramite indirizzi di intestazione perché è implicito che ogni frame inviato è destinato al dispositivo direttamente connesso. Inoltre la D è sbagliata in quanto la lunghezza è configurata tramite accordo preliminare tra i due dispositivi."
"Quale dei seguenti accorgimenti è necessario per rendere maggiormente robusto il funzionamento di un protocollo a finestra in caso di canale non sequenziale tra trasmettitore e ricevitore?","Uso di conferme di tipo cumulativo","Aumento dei bit nei campi di indirizzo delle unità dati","Scelta di finestre di trasmissione e ricezione di uguali dimensioni","Aumento dei bit usati per la numerazione delle unità dati","D",""
"Quale di queste affermazioni relative al meccanismo di ritrasmissione di TCP è falsa?","La ricezione di un triplo ACK duplicato causa la ritrasmissione del segmento più vecchio in attesa di conferma","Un timeout causa la ritrasmissione del segmento più vecchio in attesa di conferma","Un timeout causa la ritrasmissione di tutti i segmenti in attesa di conferma","La ricezione di un ACK conferma cumulativamente anche tutti i segmenti precedenti","C","In caso di timeout la finestra di trasmissione viene ridotta, quindi la C è sicuramente falsa non potendoli ritrasmettere tutti."
"Quale di queste affermazioni relative a DASH è falsa?","Si basa sulla disponibilità di versioni dello stesso contenuto multimediale codificate a diversi bit rate","Produce messaggi che vengono imbustati in RTP per realizzare la telefonia su internet","Realizza un compromesso fra banda disponibile in rete e qualità dei contenuti multimediali","Viene usato per lo streaming di contenuti multimediali su HTTP","B",""
"Nella commutazione di pacchetto di tipo datagram è prevista:","Un’assegnazione delle risorse trasmissive per la sola durata della trasmissione del pacchetto","Una scelta statistica tra multiplazione in frequenza e multiplazione nel tempo","Un’assegnazione preventiva delle risorse trasmissive in base alle statistiche di attività delle sorgenti","Un’assegnazione permanente delle risorse trasmissive a diversi flussi informativi","A",""
"Il protocollo TCP varia dinamicamente la dimensione della finestra corrente al trasmettitore per ottenere:","Non varia la finestra","Sia il controllo di flusso sia il controllo di congestione","Solo il controllo di congestione","Solo il controllo di flusso","B",""
"Quale tra le seguenti NON è un esempio di accesso multiplo?","Uno switch che trasmette pacchetti su un’interfaccia di uscita in una rete a commutazione di pacchetto","Stazioni Aloha verso la stazione Master","Smartphone che trasmettono verso una stazione base della rete di accesso di una rete cellulare","Trasmissioni di computer dotati di scheda WIFI verso un Access Point","A",""
"Esiste almeno una topologia ad albero con 5 nodi e 4 canali in cui, se si aggiunge un canale tra due nodi non collegati direttamente tra loro, la topologia:","Diventa una topologia ad anello","Rimane una topologia ad albero","Diventa una topologia a stella","Diventa una topologia completamente connessa","A",""
"Quale di queste affermazioni relative a DHCP è falsa?","DHCP fornisce dinamicamente un indirizzo IP ad un host che ne fa richiesta","Tra le informazioni fornite dal server DHCP vi è anche l’indirizzo di default gateway","I messaggi DHCP sono imbustati in datagram UDP spediti in broadcast","In una rete può esistere al più un server DHCP","D",""
"Nell’intestazione (header) IP, ovvero nella PCI del protocollo IP, è obbligatoriamente contenuto:","Il campo Time To Live che permette l’eliminazione dalla rete dei pacchetti che hanno attraversato un numero eccessivo di router","L’indirizzo MAC sorgente, utile per inviare delle risposte ai pacchetti ricevuti","Il campo ACK Number per la numerazione dei riscontri (ACK)","Il campo CODE, che contiene i flag di SYN, FIN e ACK per l’apertura e chiusura della connessione","A",""
"Un algoritmo di instradamento di tipo link state prevede che:","Ogni nodo della rete comunichi a tutti i nodi della rete l’informazione sul costo della trasmissione verso i nodi ad esso adiacenti","Ogni nodo della rete generi le proprie tabelle di instradamento e poi le distribuisca ai soli nodi adiacenti","Ogni nodo della rete comunichi ai nodi ad esso adiacenti l’informazione sul costo e la direzione delle strade che portano ad ogni possibile destinazione","Ogni nodo della rete generi le proprie tabelle di instradamento e poi le distribuisca a tutti gli altri nodi della rete","A","Slide “Strato 3: Instradamento” pag 11"
"In una rete Ethernet in cui i terminali sono connessi in modalità full-duplex alle porte di uno switch mediante un cavo UTP:","Il protocollo di accesso CSMA/CD è di fatto inutile perché lo switch separa i domini di collisione tra le sue porte","Il protocollo di accesso CSMA/CD è di fatto inutile perché lo switch lavora a bit rate superiori o uguali a 1GB/s, rendendo le trame di breve durata","Il protocollo di accesso CSMA/CD è ancora usato per bit rate inferiori a 100Mb/s","Il protocollo di accesso CSMA/CD è ancora usato, ma solo nel caso in cui due trasmissioni inizino contemporaneamente","A",""
"In un intervallo di tempo T, un nodo trasmettitore che usa un protocollo a finestra Go-Back-N con finestra pari a 5 PDU trasmette le PDU numerate 9, 10, 11 e riceve ACK (cumulativo) 8. Assumendo non sia scaduto il timeout e che ACK 8 sia quello con numero di sequenza più alto ricevuto fino a questo punto, quale delle seguenti azioni è consentita dalle regole del protocollo in questa situazione?","Inviare la PDU 12","Inviare la PDU 8","Inviare le PDU 12 e 13","Nessuna azione fino alla ricezione di altri ACK","A",""
"Una (N)-PDU (Protocol Data Unit), passando al livello (N-1) si trasforma in:","Una o più (N)-SDU (Service Data Unit)","Una o più (N-1)-SDU (Service Data Unit)","Una (N-1)-PCI (Protocol Control Information)","Una o più (N-1)-SDU (Service Data Unit) a cui sono aggiunte delle N-PCI","B",""
"Il protocollo ARP (Address Resolution Protocol) permette di:","Ottenere un indirizzo IP ignoto di un host a partire da un nome di dominio","Inviare messaggi di errore tra router","Ottenere un indirizzo MAC ignoto di un host a partire da un indirizzo IP","Ottenere un indirizzo IP ignoto di un host a partire da un indirizzo MAC","C",""
"Quale di queste affermazioni relative al Web cookie è falsa?","Un browser in possesso di un cookie lo include nelle successive richieste al relativo server HTTP","Il browser crea un diverso cookie tutte le volte che accede allo stesso server HTTP","Il cookie viene creato dal server HTTP quando un browser accede per la prima volta","Il cookie viene memorizzato dal browser nel file system dell’host client","B",""
"Nel caso in cui un errore nella configurazione delle tabelle di inoltro sui router generi un percorso chiuso in rete, quale di queste affermazioni è vera?","Un datagram che circola su tale percorso viene prima o poi eliminato dai router sulla base del campo TTL","Il protocollo di spanning tree evita l’insorgere di questi problemi prima che si presentino","Un datagram può circolare su tale percorso all’infinito","Un datagram che circola su tale percorso viene prima o poi eliminato dai router, che lo individuano confrontando il contenuto con le copie mantenute nella cache locale","A",""
"Il ritardo di trasmissione di una PDU in una rete di commutazione di pacchetto:","Dipende dalla dimensione della PDU e dalla distanza tra trasmettitore e ricevitore","Dipende solo dal bit rate del trasmettitore","Dipende dal bit rate del trasmettitore e dalla distanza tra trasmettitore e ricevitore","Dipende dal bit rate del trasmettitore e dalla dimensione della PDU","D",""
"Si consideri una rete LAN estesa in tecnologia Ethernet i cui nodi sono interconnessi da switch trasparenti. Quale tra le seguenti affermazioni è falsa?","Gli switch possono supportare la creazione di LAN Virtuali","Gli switch introducono un ritardo aggiuntivo nelle trasmissioni tra nodi collegati mediante gli switch stessi","È necessario modificare la configurazione dei nodi collegati alla LAN per permettere il corretto instradamento delle trame MAC tra gli switch","Gli switch separano i domini di collisione delle porzioni di rete interconnesse","C",""
"Relativamente alla ricezione di un segmento fuori sequenza in TCP, quale di queste affermazioni è vera?","Il riordino dei segmenti è di competenza del protocollo RTP","Il ricevitore consegna immediatamente il segmento ai livelli protocollari superiori","Il ricevitore scarta sempre il segmento che dovrà essere trasmesso nuovamente","Il ricevitore restituisce un acknowledgement number riferito al prossimo byte atteso","D",""
"A parità di bit di informazione trasmessi, quale delle seguenti codifiche di linea richiede un bit rate più elevato a livello fisico?","Codifica 4B5B","Codifica polare NRZ","Codifica Manchester","Codifica unipolare","C","4B5B richiede un bit rate di 1.25, NRZ e unipolare richiedono un bit rate di 1, Manchester richiede un bit rate di 2. Strato fisico - pag 28-32"
"Durante la fase di slow-start del controllo di congestione del protocollo TCP, la finestra corrente del trasmettitore:","Cresce di un segmento per ogni riscontro (ACK) ricevuto","Raddoppia per ogni riscontro (ACK) ricevuto","Viene dimezzata per ogni riscontro (ACK) mancante","Resta costante nel tempo","A","Quiz duplicato (vedi Es. 122)"
"Quali delle seguenti prestazioni sono possibili grazie al funzionamento Store & Forward in una rete a pacchetto?","La possibilità di avere diverse velocità di trasmissione tra i diversi canali attestati ad uno stesso commutatore","La riduzione dei ritardi di trasferimento dell’informazione attraverso un nodo di commutatore","La possibilità di usare codifiche di canale di tipo forward error correction","La riduzione della dimensione delle intestazione dei pacchetti","A","Quiz duplicato (vedi Es. 37)"
"Il protocollo IP","Non fornisce alcun tipo di protezione dagli errori","Garantisce un rilevamento dell’errore solo sul contenuto del datagram","Garantisce un rilevamento dell’errore sull’intestazione e sul contenuto del datagram","Garantisce un rilevamento dell’errore solo sull’intestazione del datagram","D","Quiz duplicato (vedi Es. 57) instradamento"
"Un router IP dopo aver calcolato l’instradamento:","Modifica gli indirizzi IP sorgente e destinazione nell’intestazione del datagram","Modifica esclusivamente il campo Time To Live (TTL) nell’intestazione del datagram","Modifica esclusivamente in campo Header Checksum nell’intestazione del datagram","Modifica i campi Time To Live e Header Checksum nell’intestazione del datagram","D","Quiz duplicato (vedi Es. 50)"
"Il protocollo Stop & Wait","Può funzionare usando un numero di bit di numerazione maggiore o uguale a 1","Può funzionare solo usando più di un bit di numerazione","Può funzionare solo usando un numero di bit di numerazione inferiore alla dimensione della finestra di trasmissione","Può solo funzionare usando un unico bit di numerazione","A","Quiz duplicato (vedi Es. 67)"
"L’algoritmo di controllo della finestra di trasmissione TCP passa dalla fase di slow-start a quella di congestion avoidance (AIMD)","Su segnalazione da parte del ricevitore SIP","Allo scadere del timeout","Non appena si riceve un riscontro fuori sequenza","Nel momento in cui la finestra corrente raggiunge un valore di soglia Windowfinestre scorrevoli","D","Quiz duplicato (vedi Es. 215)"
"Quale dei seguenti è una conseguenza dell’aumento del numero di bit di numerazione nelle unità dati di un protocollo a finestra","Aumento del numero di circuiti virtuali possibili","Aumento dei malfunzionamenti dovuti a canale non sequenziale tra trasmettitore e ricevitore","Incremento potenziale del throughput del protocollo","Mancata rilevazione delle collisioni su canale broadcast","C",""
"Quale di queste affermazioni relative al TCP slow start è falsa?","Al raggiungimento di una soglia (sstresh) commuta in modalità congestion avoidance.","Si basa su un incremento esponenziale della congestion window (cwnd)","Mantiene costantemente basso il throughput in TCP per evitare la congestione in rete","Viene eseguito a seguito di un evento di timeout che si verifica sulla connessione","C",""
"Il controllo di flusso in TCP","Basa le sue operazioni sul campo receive window (rwnd) nell’header dei segmenti TCP","Viene gestito dal default gateway che limita il throughput dei datagram spediti in rete","Basa le sue operazioni sul timeout di TCP e sulla ricezione di duplicati ACK","Richiede l’instaurazione di un circuito virtuale attraverso i router intermedi","A",""
"Una codifica di linea ed una modulazione digitale lo spettro del segnale x(t) è costituito da delta di Dirac spaziate tra di loro","Possono essere usate entrambe per la trasmissione sui mezzi radio","Possono solo essere usate per la trasmissione sui mezzi elettrici","Possono essere usate solo per la trasmissione sui mezzi elettrici (la prima) e mezzi radio (la seconda)","Possono essere usate entrambe per la trasmissione su fibra ottica","D",""
"In un protocollo Selective Repeat con finestra di ricezione pari a 2 PDU, e posizionata inizialmente sui numeri di sequenza 0 e 1, la seguente ricezione di PDU nell’ordine indicato non determina scarto di PDU","0,3,1,2","2,0,1,3","0,2,3,1","1,0,3,2","D",""
"Una tabella di routing contiene, contemporaneamente tutte e quattro le seguenti entry. Si identifichi la entry selezionata a seguito delle procedure di inoltro di un datagram con destinazione 130.192.15.200","0.0.0.0/0","130.192.14.128/25","130.192.0.0/16","130.192.15.128/25","D",""
"Con il termine “Roaming” in una rete cellulare si indica","La sovrapposizione di più celle in una determinata area del territorio","La possibilità di rintracciare un terminale indipendentemente dalla cella in cui si trova","La persistenza della connessione anche passando in una cella adiacente","La velocità di spostamento di un terminale da una cella all’altra","B",""
"Un pacchetto inizia la ricezione ad un nodo di commutazione al tempo t=15ms e la termina a t=35ms. Ipotizzando che non ci siano altri pacchetti in coda e che il tempo di elaborazione sia trascurabile, il suo inoltro su un canale di uscita avente velocità quadrupla rispetto a quello di ingresso si completa al tempo","t=40ms","t=45ms","Dipende dal tempo di propagazione verso la destinazione","t=50ms","A","35 + (35-15)/4 = 40 ms"
"In una rete WiFi l’invio di un ACK per una trama unicast da parte del ricevitore è","Non necessario se il canale è stato prenotato attraverso RTS/CTS","Obbligatorio solo se il ricevitore è l’Access Point","Obbligatorio dopo aver atteso un tempo NAV","Obbligatorio se la ricezione della trama è corretta","D",""
"Una sorgente invia 12 PDU usando un protocollo Go-Back-N con finestra di trasmissione pari a 5 PDU, numerandole a partire da 1. Il primo ACK è ricevuto dopo il termine della trasmissione del pacchetto 5 ed è ACK 2. Sapendo che non è scaduto alcun timeout, quale azione segue","La sorgente invia il pacchetto 3","La sorgente invia il pacchetto 6","Nessuna azione","La sorgente ritrasmette il pacchetto 2","B","Dal Kourse, A causa dei limiti dell’ampiezza della finestra, il mittente invia i pacchetti da 0 a 3, ma poi deve attendere la notifica di ricezione di uno di loro prima di poter procedere quando giungono i successivi ACK (per esempio, ACK0 e ACK1), la finestra scorre in avanti e il mittente può trasmettere un nuovo pacchetto (rispettivamente, pkt4 e pkt5)., (commento scritto coi piedi)"
"Eliminando un canale bidirezionale da una topologia ad anello, la topologia risultante","Diventa una topologia ad albero","Diventa una topologia a stella passiva","Rimane una topologia ad anello","Diventa una topologia a stella attiva","A",""
"Nella trasmissione dei dati su un canale radio, è preferibile l’utilizzo di","Una codifica di linea polare come la codifica Manchester per facilitare il recupero del sincronismo","Una codifica di linea di tipo nBmB per ridurre l’occupazione di banda","Una codifica di linea unipolare per garantire la componente continua necessaria alla trasmissione","Una modulazione numerica come il 64-QAM per poter trasmettere nella banda di frequenza opportuna","D",""
"Un host deve inviare un file di 4800 byte usando PDU di 800 byte con PCI di 100 byte. Che dimensione ha l’ultima PDU inviata?","900 byte","100 byte","700 byte","800 byte","C","PDU da 800 byte, di cui 100 byte per l’intestazione quindi 700 byte per i dati. 700*6 = 4200. 4800-4200 = 600 → 600+100 = 700 byte"
"La segmentazione di datagram IP è un esempio di","Generazione di più 3-SDU da una 3-PDU","Generazione di più 2-SDU da una 3-SDU","Generazione di più 3-PDU da una 3-SDU","Generazione di più 2-SDU da una 3-PDU","C","vedi slide 33 Protocol architectures Many N-PDU from one N-SDU Many (N-1)-SDU from one N-PDU"
"In una rete a commutazione di pacchetto a circuito virtuale il numero delle etichette usate da un nodo per l’instradamento è proporzionale","Al numero di possibili sorgenti","Alla somma del numero medio di canali in ingresso e uscita da ogni nodo","Al numero di connessioni attive","Al numero di possibili destinazioni","C",""
"In quale dei seguenti protocolli non è prevista una forma di rilevazione di errori","Ethernet","IEEE 802.2 LLC (Logical Link Control)","PPP (Point-to-point Protocol)","IEEE 802.3","B",""
"Nel caso in cui un errore nella configurazione delle tabelle di inoltro sui router generi un percorso chiuso in rete, quale di queste affermazioni è vera?","Un datagram può circolare su tale percorso all’infinito","Il protocollo di spanning tree evita l’insorgere di questi problemi prima che si presentino","Un datagram che circola su tale percorso viene prima o poi eliminato dai router, che lo individuano confrontandone il contenuto con le copie mantenute nella cache locale","Un datagram che circola su tale percorso viene prima o poi eliminato dai router sulla base del campo TTL","D",""
"Un playout delay di 2 secondi","È compatibile con lo streaming di contenuti memorizzati ma non per il VoIP","È compatibile sia con lo streaming di contenuti memorizzati sia per il VoIP","Non è compatibile né con lo streaming di contenuti memorizzati né per il VoIP","È compatibile con il VoIP ma non per lo streaming di contenuti memorizzati","A",""
"Quale di queste affermazioni relative ad UDP è vera?","UDP effettua automaticamente la ritrasmissione dei datagram per i quali non è stata ricevuta una conferma","UDP implementa il controllo di flusso ma non quello di congestione","UDP implementa sia il sia quello di congestione","UDP permette il multiplexing/demultiplexing grazie al concetto di porta","D",""
"Nella procedura di byte stuffing","Il ricevitore scarta ogni byte che corrisponde al delimitatore usato dal protocollo","Il ricevitore scarta il delimitatore usato dal protocollo che precede il byte di escape","Il ricevitore scarta il byte di escape che precede il delimitatore usato dal protocollo","Il ricevitore scarta ogni byte che corrisponde al byte di escape usato dal protocollo","C",""
"Nel caso di stazioni tutte a portata radio l’una dall’altra, quale tra le seguenti affermazioni sul confronto tra i protocolli Aloha e CSMA è vera?","A differenza di CSMA, una stazione che trasmetta usando Aloha ha bisogno di una conferma di ricezione","A differenza di Aloha, una stazione che usa CSMA non collide mai con una trasmissione iniziata da un tempo superiore al massimo ritardo di propagazione","Le trasmissioni di Aloha possono iniziare in qualsiasi momento, mentre in CSMA devono essere precedute da uno slot di prenotazione del canale","A differenza di Aloha, in CSMA una stazione non collide mai con altre stazioni","B","quiz duplicato"
"Quale tra le seguenti affermazioni è vera, considerando le operazioni classiche di un router IP (escludendo quindi firewall, NAT, ecc.)?","Un router modifica almeno un indirizzo IP dei pacchetti che deve trasmettere","Un router utilizza messaggi ICMP per determinare il percorso da seguire per raggiungere un host appartenente alla rete internet","Un router IP utilizza il protocollo ARP (address resolution protocol) per conoscere l’indirizzo IP del router da scrivere come indirizzo destinazione nel pacchetto IP","Un router modifica almeno un indirizzo MAC dei pacchetti che contengono IP, ma non gli indirizzi IP","D",""
"Quanti host possono essere gestiti al massimo in una rete con netmask 255.255.255.128?","254","255","126","64","C","i primi 25 bit sono dedicati alla rete, 32 - 25 = 7 bit disponibili per gli host. 2^7 = 128. Non sono tutti disponibili, 2 sono occupati di default. 128-2 = 126. La risposta è la C"
"Se un nodo che usa un protocollo a finestra riceve una PDU fuori sequenza e con i bit di parità errati:","Scarta la PDU e non invia alcun ACK","Invia un ACK relativo al numero di sequenza contenuto nella PDU ma scarta la PDU","Scarta la PDU e invia un ACK del numero di sequenza atteso","Inserisce la PDU in memoria se questa rientra nella finestra di ricezione, senza inviare alcun ACK","A",""
"Una trama ricevuta da una scheda Ethernet di uno switch è elaborata per deciderne l’instradamento","Solo se l’indirizzo MAC di destinazione è broadcast","Solo se l’indirizzo MAC di destinazione unicast corrisponde a quello dello switch","Sempre, qualunque sia l’indirizzo di destinazione","Solo se l’indirizzo MAC di destinazione è multicast e lo switch appartiene al gruppo multicast corrispondente","C",""
"Rispetto al CSMA 1-persistente, il CSMA non-persistente prevede che","Dopo una collisione, si aspetti un tempo casuale prima di provare a trasmettere","Il nuovo ascolto del canale, se trovato occupato, avvenga dopo un tempo casuale","Si aspetti un tempo casuale e poi si invii la trama sul canale","La trasmissione avvenga appena il canale diventa libero","B",""
"Il protocollo ICMP (Internet Control Message Protocol) permette","Lo scambio di messaggi di errore tra router ed host","Di trasferire i messaggi di posta elettronica tra host e host","Lo scambio di messaggi di errore tra protocollo TCP e protocollo IP","Di trasferire una pagina web da un server ad un client","A","La B è sbagliata sia perché ICMP non si occupa di posta elettronica sia perché la posta elettronica prevede solamente comunicazioni fra un host e un server e non fra i due host. La C è scorretta perché TCP è un protocollo di livello 4 (peraltro alternativo a ICMP) e IP di livello 3. La D è sbagliata perché il protocollo citato è HTTP (di livello applicazione) che peraltro è mappato a livello 4 su TCP e non su ICMP."
"Nell’intestazione (header) TCP, ovvero nella PCI del protocollo TCP, sono obbligatoriamente contenuti","Alcuni flag usati per l’apertura e la chiusura della connessione","Il valore corrente della finestra di congestione","Il campo header checksum, per il rivelamento dell’errore sulla sola intestazione","Il valore del Maximum Segment Size negoziato tra trasmettitore e ricevitore","A",""
"In uno schema ARQ (Automatic Retransmission reQuest) con numerazione non ciclica, con finestra Wt > 1, il numero del primo pacchetto nella finestra di trasmissione, si può riferire:","A nessuna delle altre risposte","A un pacchetto trasmesso dal trasmettitore, ricevuto dal ricevitore e per cui il trasmettitore ha ricevuto il corrispondente ACK","A un pacchetto per il quale il ricevitore non ha spazio nel buffer","A un pacchetto trasmesso dal trasmettitore, ricevuto dal ricevitore e per cui il trasmettitore non ha ancora ricevuto il corrispondente ACK","D","La B è sbagliata perché in tal caso il pacchetto sarebbe già fuori dalla finestra di trasmissione (la finestra si sarebbe fatta scorrere almeno di tale pacchetto). La C non ha molto senso in quanto vorrebbe dire che il ricevitore non ha spazio neppure per una PDU. La D è corretta in quanto, fino alla ricezione dell’ACK (cumulativo o del singolo pacchetto), il pacchetto non è segnato come ricevuto e fa ancora parte della finestra di trasmissione (pronto per un’eventuale ritrasmissione a seguito della scadenza del timeout)"
"Nel protocollo CSMA-CD una stazione porta a termine la trasmissione di una trama","Solo se ha la priorità più elevata rispetto alla stazione con cui collide.","Solo se, ascoltando il canale, non si rileva un’eventuale ricezione simultanea alla trasmissione in corso","Sempre dopo averla iniziata","Solo se riceve una trama ACK dal ricevitore","B","nel caso di collisione sarebbe inutile continuare in quanto la trasmissione andrebbe comunque ripetuta; comporterebbe solamente uno spreco di energia. Viene invece lanciato un segnale di jamming (disturbo) per sincerarsi che anche le altre sorgenti abbiano riconosciuto la collisione. La D è sbagliata perché CSMA-CD non prevede l’invio di ACK in quanto si ha la certezza che la trasmissione è andata a buon fine se non si sono verificate collisioni durante la stessa."
"Se un nodo che usa un protocollo Selective Repeat riceve una PDU con numero di sequenza all’interno della finestra di ricezione con i bit di parità errati:","Scarta la PDU e non invia alcun ACK","Scarta la PDU e invia un ACK del numero di sequenza atteso","","","A","Il pacchetto viene completamente ignorato. Con i bit di parità errati è come se non fosse mai stato ricevuto"
